place_id,name,address,latitude,longitude,open_now
"ChIJUebqPgBNvjsRE1hgDb-iOXk","IndianOil","Ground Floor, Salcete, Bapsoro, Velim","15.142595","73.9547905","true"
"ChIJ9faOTQBNvjsRZEbMrkVPxC8","HP petrol pump","4WHX+J5G, Kital","15.129325","73.9482491",""
"ChIJkfFD82VNvjsRVQ0OPvXzmq0","IndianOil","Ground Floor Chinchinim, Salcette, Assolna","15.187579","73.970708","true"
"ChIJb94ruD1NvjsR4dFzd63T5m8","BP Petrol Pump","Cuncolim","15.1784534","73.99896729999999","true"
"ChIJrYvD9jJNvjsRM3wlo0JR62c","IndianOil","Ground Floor NH 17, Cuncolim, Salcete, Barsen","15.196733","73.99673299999999","true"
"ChIJ1zhJryZNvjsRmbOTlpGHGCc","Hindustan Petroleum Corporation Limited","Survey No 269, near Cuncolim, 2C, Road, Industrial State, Ambavali","15.184906","74.017938","true"
"ChIJD7eenrtNvjsRIIVNmU7fols","Dessai Petrol Pump","NH 66, Pattem, Bally","15.1485504","74.02006659999999","true"
"ChIJJ8MvpBOzvzsRbKvQ_EF41mE","Furtado Fuel Center","6XX9+HJC, Bellem, Navelim","15.2489332","73.9690553","true"
"ChIJ2S8OW5-zvzsRfHM1sSjU7aM","Hindustan Petroleum Corporation Limited","Survey No 77/9 & 77/13 Goa Mumbai Highway, National Highway 66, Navelim","15.2493959","73.9704091","true"
"ChIJFwMiHIOyvzsRK8H_XEvRzWQ","IndianOil","S No 24/2, Margao Quepem Road Assolda, Salcete, Mulem","15.2371048","74.02614849999999","true"
"ChIJ8wpQbgCtvzsRHHviAfYevUs","Amey Fuel Station IndianOil","6396+WJF, Quepem","15.21982","74.0615332","true"
"ChIJZfA3lhKtvzsRyuG2jguh_lE","Hindustan Petroleum Corporation Limited","Survey No 152, near Municipal Garden, 3 SH 40, Margao - Quepem Road, Quepem","15.214241","74.070601","true"
"ChIJhas7SC-tvzsRse8_RPTXHEw","Quepem Gas Station","Shop No.2, near Petrol Pump, Quepem","15.2146357","74.0705954","true"
"ChIJJ6j9HMmtvzsRDE47KQW9k3Y","6/67 RVS","6/67, Garden Street, Quepem","15.2148983","74.07082430000001",""
"ChIJr4hdJHhTvjsRy4Vx-TNK6a0","Shubhra Petroleum","Shubhra Petroleum, Sirvoi","15.1934382","74.0972491",""
"ChIJ-5Md1_lTvjsRObvGEmu_jYk","IndianOil","Survey No 25, 1 AR, Cordem","15.1123459","74.0356566","true"
"ChIJEa2-E4OzvzsR4uyGQyXgqng","Bharat Petroleum Petrol Pump","NEAR REGINA APARTMENTSACSONA, DIULAR","15.2553627","73.9443113","true"
"ChIJESjTsZqzvzsR87Rf2ABTcno","IndianOil","Survey No 44, 2A, Colva Beach Road, Seraulim","15.27925","73.937629","true"
"ChIJwWNKp-mzvzsRnQFvzzHS_6M","BPCL Pump","Madgaon","15.2719078","73.956643","true"
"ChIJx0_-ROizvzsRn2Pj_JDN98U","Y.R. N. Kurade BP Petrol Pump","BP Petrol Pump, Abade Faria Road, Comba, Pajifond, Madgaon","15.2739044","73.9574433","true"
"ChIJJVCFROizvzsRe_xD-UloaF4","Hindustan Petroleum Corporation Limited","Chalta No 215, opposite Municipal Garden, Goa Mumbai Road, Salcete, Madgaon","15.274161","73.957411","true"
"ChIJO9asmVuzvzsRcHBaYjsqx1w","Shree Kamakshi Filling Station ADHOC","Abade Faria Road, Comba, Pajifond, Madgaon","15.2742746","73.9574068","true"
"ChIJt_IleABNvjsR7IyRzU-Bby4","Hindustan Petroleum Corporation Limited","ground floor, Quitol, Betul, Quepem","15.2759619","73.9583889","true"
"ChIJV0YB7OezvzsRCZYAbpVaoO4","Hindustan Petroleum Corporation Limited","Chalta No 171, No 207, PT Sheet, Salcete, Padre Miranda Road, Madgaon","15.277011","73.958411","true"
"ChIJz0XKBxKzvzsRvoum0jLMp8s","Bharat Petroleum","nr. CINEMETROPLOE, Madgaon","15.277884","73.95877060000001","true"
"ChIJ75qyPgCzvzsRKDF0Wl-WLXk","Mohidin Auto Care Centre","7XH5+4GH, nr. CINEMETROPLOE, Pajifond, Madgaon","15.2778208","73.95887429999999","true"
"ChIJ_4XeftOzvzsRIihTm_ZcMTI","Clarina BPCL Petrol Pump","Vidyanagar, Gogol Housing Board, Madgaon","15.2829212","73.98026829999999","true"
"ChIJJcplN3yxvzsRW2ATk2eS5Dk","Hindustan Petroleum Corporation Limited","Royal Enfield Showroom, No 5 & 57, Margao Bypass Road PT Sheet, Salcete, Fatorda, Arlem, Madgaon","15.290841","73.976491","true"
"ChIJ648fRACzvzsRMZnF4H_qtbs","Bharat Petrol Pump","7X3V+RGF, Lakaki, Dikarpal","15.2545687","73.9938071",""
"ChIJcz8mflGzvzsR5CZ_OgIjMCI","Ramnathkar Petroleum","next to Military Camp, Dikarpal","15.2545229","73.9939469",""
"ChIJ8f_OH2WxvzsRADzL0bHT1hs","HP PETROL PUMP - DURGA S.CENTRE","Plot No.44, Margao - Ponda Highway, Fatorda, Madgaon","15.2965973","73.9702635","true"
"ChIJP8LlSxyxvzsRC-Fo2i9AF0Q","Hindustan Petroleum Corporation Limited","Chalta No 15, Margao Ponda Road, Salc, Fatorda, Madgaon","15.296671","73.96963099999999","true"
"ChIJ1_-ZRH2zvzsRznrYvO5OVcI","LPG Godown Margao gas distributor","7229+5J, Sao Jose De Areal","15.250428","74.0191112","true"
"ChIJ3x_8ffKsvzsRDI2zptFOTm8","IndianOil","Ground Floor, Xeldem","15.240984","74.097511","true"
"ChIJmas1IXOtvzsR7Tf1WCCfefg","HP GAS ANUBHAV GAS SERVICE","G 4 12, BANSAI PLAZA, BANSAI, Kakoda, Vodlemol Cacora","15.2538347","74.1040281",""
